"mouse","young_module_score","old_module_score","raw_score","calibrated_score","gene_coverage","weighted_coverage","young_reference_center","old_reference_center","calibration_denominator","model","age","age_months","age_group","sex","n_cells","pseudobulk_library_size","pseudobulk_detected_genes"
"3_39_F",0.723568192303749,-0.813759074307871,1.53732726661162,0.985311442891102,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","3m",3,"Young","female",53,66348808,12415
"3_10_M",0.921367765418224,-0.696421375716976,1.6177891411352,1.0146885571089,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","3m",3,"Young","male",28,28380229,12456
"3_11_M",0.966675980807477,-0.995509415972914,1.96218539678039,1.14042970095095,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","3m",3,"Young","male",14,17415067,10153
"3_8_M",1.16706437847506,-0.505932775508798,1.67299715398386,1.03484533457395,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","3m",3,"Young","male",75,82136470,14241
"3_9_M",0.491642437817824,-0.967064509284395,1.45870694710222,0.956606691482527,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","3m",3,"Young","male",17,9599638,11393
"18_46_F",-0.486204212962419,0.415402010394202,-0.90160622335662,0.0948421600333093,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","18m",18,"Old","female",82,97642498,13280
"18_47_F",-0.459639428261932,0.55268710722276,-1.01232653548469,0.0544175082976204,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","18m",18,"Old","female",76,89804246,13216
"18_45_M",-0.635631628256945,0.659546574062878,-1.29517820231982,-0.0488533360930932,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","18m",18,"Old","male",31,108019124,11115
"18_53_M",-0.667221013213171,0.525463387778647,-1.19268440099182,-0.0114322329177435,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","18m",18,"Old","male",45,87537694,12432
"24_58_M",-0.695406551463843,1.04925539354554,-1.74466194500938,-0.212962553361754,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","24m",24,"Old","male",79,132161042,11177
"24_59_M",-0.705594954101932,0.209955005695009,-0.915549959796941,0.0897512180131839,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","24m",24,"Old","male",68,161460489,10615
"24_60_M",-0.609586300883898,0.607140511925845,-1.21672681280974,-0.0202102620430717,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","24m",24,"Old","male",91,116295606,11216
"24_61_M",-0.612956313144116,0.51710390470077,-1.13006021784489,0.0114322329177434,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","24m",24,"Old","male",79,101230452,11634
