Dedifferentiation,Inflam,Tumor
Fbln1,Fpr1,Gins1
Fbln2,Fzd5,Gins3
Fbln5,Gabbr1,Gins4
Fbn1,Gch1,Gspt1
Fbn2,Gna15,H2ax
Fermt2,Gnai3,H2az1
Fgf2,Gp1ba,Hells
Flna,Gpc3,Hmga1b
Fmod,Gpr132,Hmgb2
Fn1,Gpr183,Hmgb3
Foxc2,Has2,Hmmr
Fstl1,Hbegf,Hnrnpd
Fstl3,Hif1a,Hus1
Fuca1,Hpn,Ilf3
Fzd8,Hrh1,Ing3
Gadd45a,Icam1,Ipo7
Gadd45b,Icam4,Jpt1
Gas1,Icosl,Kif18b
Gem,Ifitm1,Kif22
Gja1,Ifnar1,Kif2c
Glipr1,Ifngr2,Kif4
Gm21451,Il10,Lbr
Gpc1,Il10ra,Lig1
Gpx7,Il12b,Lmnb1
Grem1,Il15,Lsm8
Htra1,Il15ra,Luc7l3
Id2,Il18,Lyar
Igfbp2,Il18r1,Mad2l1
Igfbp3,Il18rap,Mcm2
Igfbp4,Il1a,Mcm3
Il15,Il1b,Mcm4
Il6,Il1r1,Mcm5
Inhba,Il2rb,Mcm6
Itga2,Il4ra,Mcm7
Itga5,Il6,Melk
Itgav,Il7r,Mki67
Itgb1,Inhba,Mlh1
Itgb3,Irak2,Mms22l
Itgb5,Irf1,Mre11a
Jun,Irf7,Msh2
Lama1,Itga5,Mthfd2
Lama2,Itgb3,Mxd3
Lama3,Itgb8,Mybl2
Lamc1,Kcna3,Myc
Lamc2,Kcnj2,Nap1l1
Lgals1,Kcnmb2,Nasp
Lox,Kif1b,Nbn
Loxl1,Klf6,Ncapd2
Lrp1,Lamp3,Nme1
Lrrc15,Lck,Nolc1
Lum,Lcp2,Nop56
Magee1,Ldlr,Nudt21
Matn2,Lif,Nup107
Matn3,Lpar1,Nup153
Mcm7,Lta,Nup205
Mest,Ly6e,Orc2
Mfap5,Lyn,Orc6
Mgp,Marco,Pa2g4
Mmp14,Mefv,Paics
Mmp2,Mep1a,Pan2
Mmp3,Met,Pcna
Msx1,Mmp14,Pds5b
