"gene","18-F-50","18-F-51","18-M-52","18-M-53","21-F-54","21-F-55","24-M-58","24-M-59","24-M-60","24-M-61","3-F-56","3-F-57"
"2310022A10Rik",2.02394076890271,1.31864682612248,2.85227117323081,2.10207619646898,1.89803297809221,1.72620618634452,2.30788241621359,2.0613713319048,2.00269933851669,1.95091948918945,2.41765918452056,1.85167861954495
"Akt2",6.30812611515288,6.09838976191348,6.30101141418946,6.10314415523608,5.93780110067805,6.02092851586611,5.61515221018181,5.85585580800989,6.00583211149763,6.17565300550855,6.08993772954768,5.95333325814405
"Map3k10",3.1371751374868,3.98543914186042,3.62608568733161,3.36493394971236,2.9153294172091,2.46841607593189,2.20177631695102,2.37665202080941,2.72102333344625,2.62889914730699,3.22975853676985,3.16658262148728
"C030039L03Rik",2.85219371846243,1.96312561455695,2.74322611567424,2.15169672405431,2.12538843521981,2.14452360357296,1.82665798677639,1.95700468910255,2.17781372075213,1.95091948918945,1.81046166792813,1.98812008254771
"Zfp60",0.524627422540264,-1.36879644547216,0.0625967903475292,-0.017204623075443,-0.21034066686933,0.58506848679986,0.123561352011041,0.157573098014491,0.507494280475393,0.329941912106685,-0.80903621691186,0.141708404863292
"Zfp59",0.524627422540264,-1.36879644547216,-0.131442964989325,0.186980098529056,0.0333317458107222,-0.313745717491097,0.976128370652386,0.157573098014491,0.507494280475393,1.7164976438622,-0.80903621691186,0.141708404863292
"Zfp607",-0.131490093932028,1.96312561455695,1.3903678517607,1.31642026460467,0.730775916834726,1.22328800071825,1.31836554728187,1.58914812999422,1.57198075059754,1.08862425863927,0.741623439016966,1.6192727839826
"1700049G17Rik",-0.131490093932028,-1.36879644547216,0.0625967903475292,0.186980098529056,0.241733330525661,-0.587623499342735,0.339106017896422,0.334623456378114,0.507494280475393,0.329941912106685,-0.406766895632688,0.547162580229439
"Zfp780b",0.973968249215316,2.58644394302052,1.23793275657809,1.31642026460467,1.47134823078185,2.05075881186285,1.59478222973556,1.84449511396763,1.57198075059754,0.877190759319325,1.73291875528601,1.53266716671019
"Psmc4",5.6380901886638,5.61030612899211,6.13016819987061,6.18287517409452,5.86092827247128,6.01783448469051,6.03765535121108,6.105123869079,5.84638983100723,5.63438908427109,5.72471013717725,5.87189138001702
"Fbl",6.89711363253161,6.89587861973255,7.17946873730922,6.82670787356439,6.97760669230306,6.99632886587169,7.02952525923828,6.86009660932495,6.62805129829896,6.7924036450075,6.52609471968844,6.5184844676174
"Dyrk1b",1.31609353808951,2.40702516069285,2.11436447724182,2.1996671826668,0.983758453933731,1.72620618634452,1.50839697512925,1.44224732139191,1.29627758746587,1.58325911766676,1.37284109227841,1.85167861954495
"Eid2",3.1371751374868,2.20208126815732,3.04837057111367,2.89688357193357,1.09535084250732,1.13466139425774,1.59478222973556,2.15869460491627,1.44070512987126,1.58325911766676,1.15231516152221,3.01510100563116
"Eid2b",2.19931291239871,1.31864682612248,1.71307322394075,2.29107283263747,0.862805287012576,1.78562516362401,1.67628585896544,1.72246359336262,1.57198075059754,1.7164976438622,1.88404848472698,1.53266716671019
"Timm50",4.58751749872221,3.92000342946631,4.35722704600502,4.43095721948273,4.04003491716094,4.19634446607537,4.01675164857518,4.15897484547197,4.12550516947502,4.17569247403187,4.26998681822787,4.17856565348605
"Supt5h",5.40739113929323,4.79595372378412,5.18056545072352,4.927601696092,4.91301527003846,5.0356376237092,4.55826975716672,4.5750155022098,4.69975952051745,4.93255727958812,4.8220491255645,4.74841229209685
"Rps16",11.0175876036735,10.9283393665737,12.0933429604673,11.8679464439203,11.5605956838931,11.5128178284572,11.3356738445433,11.3658165725495,11.6518495815843,11.5838960977024,11.4425142565143,11.3900418026488
"Plekhg2",4.8984480436349,4.83197677637353,4.43817416227343,4.82428526456653,4.35234969076532,4.28136881165973,4.41128135559155,4.61843193782432,4.64116331869065,4.72681338793471,4.61070700962666,4.40266184037756
"Zfp36",10.5036001358048,10.2355978614668,10.5746498604019,10.822565540202,10.5202663753261,10.7080421479139,11.0617446469667,10.919136427528,11.2327677529646,11.3206528170744,10.8271735315225,10.7479194144255
"Med29",3.81298450766228,4.04803524355105,4.70855688337704,4.80114950762539,4.28332715418066,4.26057786291117,4.28705454504088,4.34623069210715,4.5163083158937,4.15236082820063,4.3885125504612,4.71929794847081
"Paf1",4.79297291711572,4.96769614902561,4.52308992194807,4.44097059121145,4.59001047537085,4.58714024824415,4.57961088936752,4.52112999720764,4.62613470221838,4.55952305834842,4.73523535558927,4.45069078999375
"Samd4b",6.69967627753048,6.62525356704522,6.73933812646868,6.43914263146833,6.91433960864159,6.79778450673096,6.64783419422794,6.70762293086153,7.06971788709375,6.90138312973318,6.67864087424853,6.47269560898009
"Gmfg",-1.36879644547216,-1.36879644547216,1.15521641727664,0.918036974100733,0.983758453933731,1.22328800071825,1.31836554728187,1.78476923599298,1.80335465362504,1.7164976438622,1.88404848472698,1.6192727839826
"Sycn",0.524627422540264,0.841531739621085,-1.36879644547216,-1.36879644547216,-0.872356686803803,-1.36879644547216,-1.36879644547216,-1.36879644547216,1.29627758746587,1.436451734275,-1.36879644547216,-1.36879644547216
"Pak4",3.37504207195324,3.98543914186042,2.52999023709757,2.89688357193357,2.9153294172091,3.05599359287954,2.70741934944292,3.23524195404756,2.40611409605096,2.69498145342413,3.28513690340022,2.65401982441574
"Fbxo27",0.973968249215316,0.12377598562673,0.874127673242411,1.55639133338578,1.09535084250732,0.444665151268138,0.123561352011041,1.1893636675141,0.955135291811437,0.877190759319325,0.57386642681585,1.12247767240419
"Fbxo17",3.30002779320293,2.20208126815732,3.04837057111367,3.42670485796582,2.78823467247202,2.63921327621741,2.92311734777765,2.88320766411781,2.60317431643074,3.08828883354202,2.91563954919136,3.01510100563116
"Mrps12",4.79297291711572,4.99972084888007,5.69051014901424,5.68134090976961,4.82671084981357,4.9667109918911,4.79562539132661,4.6605798811454,4.86249300385161,5.01247914557981,5.01456594911208,5.08151240982395
"Sars2",1.31609353808951,0.12377598562673,1.23793275657809,1.02841026588916,0.862805287012576,0.289109909712137,1.09945064344651,0.76380695595171,0.217835950429058,0.329941912106685,0.891889792311261,0.998705669892692
"Nfkbib",6.04650102546992,5.97494303552822,6.27920507567986,5.81823862818364,6.10712929678202,6.15652479959479,5.96653441937299,6.11728168691111,6.21615026444594,6.09228370156452,5.66854909516125,5.85414382241374
"Sirt2",6.2594595984556,6.34269025460678,6.31536798681419,6.42659906722862,6.18803088803629,6.25703857417947,6.24887604313244,6.23353661624132,6.1754362178258,6.29231562782755,6.36836874506093,6.20159202990188
"Rinl",-0.131490093932028,-1.36879644547216,0.76678472152133,0.918036974100733,0.585435370176992,-0.0836576235212273,0.526593864504381,0.334623456378114,0.217835950429058,0.329941912106685,0.384003985019502,-0.424276335478767
"Hnrnpl",5.82360481984029,6.05332595609896,5.56395965446984,5.3975272174008,5.58793831923772,5.71954841707053,6.06060397788078,5.91972447776512,5.91600783946581,5.70022604354837,5.75444628050731,5.6169158511614
"Ech1",6.41863510902799,6.3796682476768,6.50266213323503,6.42155094445416,6.56525793709818,6.52888774601437,7.10689446470146,6.74139920467367,6.40408480938955,6.54164493395102,6.61792682309269,6.21903028092192
"Lgals4",1.59243734580592,2.58644394302052,1.23793275657809,1.13093625872888,0.983758453933731,1.38571057904829,1.75343019784318,1.72246359336262,0.955135291811437,1.83846470445177,1.56408471587761,1.44052866748073
"Lgals7",2.62518338150546,3.70374879393983,1.06746757098924,1.82460645288314,0.585435370176992,0.830526484882154,1.09945064344651,1.1893636675141,0.507494280475393,1.436451734275,3.64402241796629,1.44052866748073
"Capn12",1.59243734580592,1.31864682612248,-0.947194383998866,-1.36879644547216,-0.21034066686933,0.713011434230347,-0.4376867703052,-0.27905408656736,-0.144972567103239,-0.56249451001495,-0.80903621691186,0.713878941592014
"Actn4",6.60156607043398,6.85269419729934,6.52135967396373,6.49547852336905,6.54328510944445,6.62961347212189,6.64277392730142,6.46283007881645,6.35934613369861,6.76189636475311,6.21640468228225,6.42239798767444
"Eif3k",7.91376234153334,7.54856999980313,8.12621137132118,8.19495763344457,8.02026801235181,7.91485873916743,7.95981871444364,7.87569424049877,7.84883195025732,7.86536166776,7.97114941886249,7.94969273532505
"Fam98c",4.55562399587454,4.04803524355105,4.00242358829266,4.28294268619988,4.22317341953448,4.39065332391216,4.701424745886,4.79531753788408,4.44958019465386,4.66220595148721,4.32387042114701,4.26169062828225
"Spred3",0.973968249215316,1.31864682612248,0.524687236799692,0.918036974100733,1.09535084250732,0.713011434230347,0.123561352011041,0.492301605388292,0.217835950429058,-0.0483427471131454,0.16531341604609,0.713878941592014
"Psmd8",6.93479444666892,6.64563796574646,7.39756697992785,7.35350039235145,7.1826162324893,7.21607273788461,7.44300830319224,7.314095944661,7.36275598001471,7.20618065770096,7.00773240281624,7.15131636451493
"Kcnk6",0.524627422540264,1.31864682612248,1.06746757098924,1.48075086445593,1.5518106214044,0.939186114888727,0.692494901439762,1.09415654767019,0.748607402608135,1.08862425863927,1.47162949293434,1.85167861954495
"Yif1b",6.04650102546992,5.89205559408269,6.74465227703104,6.74823614999866,6.32883935243213,6.30858881148065,6.3076091107726,6.35658511766501,5.94051307367154,5.96415097763246,6.36515997094729,6.37651302361066
"2200002D01Rik",3.75798997909457,4.1080279707205,3.7008951401175,3.42670485796582,3.46504340656087,3.47233682493366,2.95612809963963,2.60101558440541,3.35243090672805,3.43618817504239,2.98417339617266,3.10788450861932
"Spint2",3.22089811485673,3.25065969190984,2.02401482014375,0.798514816584193,1.29556415276901,1.95047375948556,1.09945064344651,1.58914812999422,2.25799566314316,1.436451734275,2.84368698986295,1.44052866748073
"Ppp1r14a",2.95357242738503,2.40702516069285,2.27967813590049,2.92569381791298,2.97491066915315,2.9560846356581,3.11072114382865,2.88320766411781,2.47483536203968,3.08828883354202,3.04959871787857,3.3550398565256
"Sipa1l3",2.74314900547334,2.58644394302052,2.82577282844018,2.8674862491312,2.78823467247202,2.90340979420575,1.89634776457052,2.20500005789039,2.25799566314316,2.55964404632091,2.60341376959973,1.6192727839826
"Zfp84",1.82426186576195,2.74599733440609,1.9276266927453,1.94207130924136,2.53469972300461,2.09840282824097,2.02637488046078,2.29337743036841,2.33395492090603,1.95091948918945,2.14577185242593,2.77213554620932
"Zfp30",-0.131490093932028,-1.36879644547216,0.386475171283681,1.13093625872888,0.0333317458107222,0.444665151268138,0.841270722673226,0.492301605388292,1.13576642600701,1.08862425863927,1.15231516152221,0.547162580229439
"Zfp790",1.59243734580592,1.67657849603583,1.3903678517607,1.40092406636388,1.38613182191813,1.46054246666749,1.59478222973556,1.58914812999422,1.13576642600701,2.32937434575961,1.56408471587761,1.23646493038974
"Zfp420",0.973968249215316,0.12377598562673,1.15521641727664,0.798514816584193,0.423795515802387,0.58506848679986,0.526593864504381,1.09415654767019,1.13576642600701,1.436451734275,0.57386642681585,1.12247767240419
"Zfp27",-1.36879644547216,1.31864682612248,0.650808304651942,1.31642026460467,0.730775916834726,1.04023192010285,1.31836554728187,0.99221974421732,1.57198075059754,-0.0483427471131454,0.741623439016966,0.141708404863292
"Zfp383",2.62518338150546,3.25065969190984,2.52999023709757,2.60787755857467,2.57376280212753,2.90340979420575,3.13974686389765,3.06993583074138,2.33395492090603,2.75816898562829,2.95031338877341,3.13753207155794
"Zfp74",1.59243734580592,1.67657849603583,1.3903678517607,1.69672300697205,2.27510377069777,1.72620618634452,1.31836554728187,2.11085348346615,1.80335465362504,1.7164976438622,2.46638771669878,2.38410263821531
"Zfp568",1.31609353808951,1.31864682612248,1.31616265403991,1.13093625872888,0.862805287012576,1.04023192010285,1.09945064344651,2.01013155899488,0.217835950429058,2.15252126511676,1.56408471587761,1.12247767240419
"Zfp14",-0.131490093932028,-1.36879644547216,0.0625967903475292,0.524910181284566,0.241733330525661,0.289109909712137,0.692494901439762,0.76380695595171,-0.630828682270765,0.877190759319325,0.57386642681585,0.713878941592014
"Zfp82",-0.131490093932028,-1.36879644547216,0.386475171283681,0.668188883230553,-0.503704443824113,0.713011434230347,0.526593864504381,-0.0442851691924903,-0.630828682270765,-0.56249451001495,-0.406766895632688,0.547162580229439
"Zfp566",1.31609353808951,1.96312561455695,1.52822473528566,1.13093625872888,0.730775916834726,0.939186114888727,0.976128370652386,1.5175666698227,1.57198075059754,1.08862425863927,1.26678764562378,1.53266716671019
"Zfp260",4.10507293419848,3.70374879393983,3.48080037779731,3.91743482140831,3.54584851335378,3.75100761780538,4.01675164857518,4.11114317191344,3.6780259738332,3.54768995512124,4.12575524603959,4.02840457499097
"Zfp382",2.02394076890271,0.12377598562673,0.76678472152133,0.918036974100733,0.423795515802387,1.53168351618509,1.75343019784318,1.27867490457143,0.955135291811437,1.7164976438622,1.26678764562378,1.12247767240419
