"gene","direction","module","adjusted_logFC","age_rho","reliability","weight","equal_weight","training_mean","training_sd","FDR","pi_LOMO","pi_depth","pi_sex","q_g","primary_model","weighting"
"Prss2","old_high","old_module",-5.10143219252396,0.384908400923967,1,1,1,-0.235547039838392,1.33348610181163,0.859497520749424,1,1,1,1.96358410764644,TRUE,"equal_weight_sensitivity"
"Pcdhga3","old_high","old_module",-3.74712982739927,0.511237358145545,1,1,1,-0.689224048868427,0.736083448605192,0.846622404245472,1,1,1,1.91567275358798,TRUE,"equal_weight_sensitivity"
"Chaf1b","old_high","old_module",-2.23184495159889,0.764248006797007,1,1,1,0.128144479449511,0.742591027171113,0.675697918099546,1,1,1,1.70568305573941,TRUE,"equal_weight_sensitivity"
"Gm20554","old_high","old_module",-2.57177944105162,0.656608448635003,1,1,1,-0.502563423660015,0.868481998822174,0.924574506499367,1,1,1,1.6886521090203,TRUE,"equal_weight_sensitivity"
"2210010C04Rik","old_high","old_module",-4.22015650274531,0.384908400923967,1,1,1,-0.500478489139171,1.11220387796626,0.88435574800948,1,1,1,1.62437369112058,TRUE,"equal_weight_sensitivity"
"C130026I21Rik","old_high","old_module",-4.24236455072747,0.371206174729975,1,1,1,0.626734665483978,1.21154115219477,0.159607900879402,1,1,1,1.57479191668559,TRUE,"equal_weight_sensitivity"
"Kit","old_high","old_module",-5.13067058915595,0.303009174682962,1,1,1,-0.795963301726171,0.78884926376745,0.622807840682299,1,1,1,1.55464026079029,TRUE,"equal_weight_sensitivity"
"Hp","old_high","old_module",-2.40971546027861,0.611398405437605,1,1,1,1.64251149565543,1.45469084144301,0.663939496575369,1,1,1,1.47329618997269,TRUE,"equal_weight_sensitivity"
"Gjb2","old_high","old_module",-3.43358045484671,0.426541673278312,1,1,1,0.233664688877265,1.17152340196621,0.74801595287595,1,1,1,1.46456515254602,TRUE,"equal_weight_sensitivity"
"Gm10125","old_high","old_module",-2.21563427999422,0.65506972011172,1,1,1,0.295526281949224,0.788944729429041,0.75647094237691,1,1,1,1.45139492766575,TRUE,"equal_weight_sensitivity"
"Sema3e","old_high","old_module",-1.57799003220779,0.917097608156408,1,1,1,2.07071127491537,0.867662527297975,0.663939496575369,1,1,1,1.44717088423242,TRUE,"equal_weight_sensitivity"
"Igj","old_high","old_module",-4.69581840375283,0.305699202718803,1,1,1,2.66291776349022,2.60695093888827,0.822326162443121,1,1,1,1.43550794213952,TRUE,"equal_weight_sensitivity"
"Fam46b","old_high","old_module",-1.55736796668482,0.917097608156408,1,1,1,2.9674040454657,0.772805476592485,0.479727512106289,1,1,1,1.42825843726606,TRUE,"equal_weight_sensitivity"
"Nefl","old_high","old_module",-5.52821954475782,0.249058377068449,1,1,1,-0.422567245238269,1.05683961382252,0.628822124837153,1,1,1,1.37684938789546,TRUE,"equal_weight_sensitivity"
"Btc","old_high","old_module",-1.64966622233789,0.829754978808179,1,1,1,1.17621589146925,0.564005595529926,0.585977606446923,1,1,1,1.36881876135654,TRUE,"equal_weight_sensitivity"
"Sycn","old_high","old_module",-3.7753618391098,0.361280169814301,1,1,1,-0.529586943433891,1.17696925715017,0.927454629436677,1,1,1,1.36396336634402,TRUE,"equal_weight_sensitivity"
"Tuba4a","old_high","old_module",-1.43581616214028,0.938933265493466,1,1,1,5.88577791788152,0.879223231938175,0.675697918099546,1,1,1,1.34813555776667,TRUE,"equal_weight_sensitivity"
"Dact2","old_high","old_module",-1.65024214037897,0.807919321471122,1,1,1,4.29275111512127,0.845218395723976,0.673146164048268,1,1,1,1.33326251031803,TRUE,"equal_weight_sensitivity"
"Rgs4","old_high","old_module",-2.19244336442783,0.589562748100548,1,1,1,2.16906187121636,1.24519142472663,0.846622404245472,1,1,1,1.29258293498688,TRUE,"equal_weight_sensitivity"
"Slc7a5","old_high","old_module",-2.01473171242408,0.633234062774663,1,1,1,3.59488233725917,0.770343107316494,0.0252697364635518,1,1,1,1.27579674765925,TRUE,"equal_weight_sensitivity"
"Ankrd6","old_high","old_module",-2.80423568529058,0.448415605241302,1,1,1,-0.245991394349348,0.72083208673272,0.744331534649882,1,1,1,1.25746304205883,TRUE,"equal_weight_sensitivity"
"Myh4","old_high","old_module",-3.1801177065962,0.393041832067032,1,1,1,-0.0566420103109042,0.638359301275151,0.393676646790506,1,1,1,1.24991928958938,TRUE,"equal_weight_sensitivity"
"Slco1c1","old_high","old_module",-5.54541244735841,0.219899748566771,1,1,1,-0.217227841203374,1.0454952992232,0.67259884032395,1,1,1,1.21943480287316,TRUE,"equal_weight_sensitivity"
"Aox3","old_high","old_module",-1.42028886391311,0.851590636145236,1,1,1,1.9562915695144,1.13798210781223,0.7984762507352,1,1,1,1.20950469712976,TRUE,"equal_weight_sensitivity"
"Ubd","old_high","old_module",-2.23646751052448,0.535911333093264,1,1,1,-0.379425698088394,0.913402024158086,0.856816465913987,1,1,1,1.19854828498495,TRUE,"equal_weight_sensitivity"
"Elane","old_high","old_module",-3.76348560513844,0.31466337370923,1,1,1,-0.552291655967183,1.15901410472878,0.927454629436677,1,1,1,1.18423107741898,TRUE,"equal_weight_sensitivity"
"Try5","old_high","old_module",-3.76348560513844,0.31466337370923,1,1,1,-0.654299992746314,1.01938342236125,0.924574506499367,1,1,1,1.18423107741898,TRUE,"equal_weight_sensitivity"
"Gpr1","old_high","old_module",-1.38389677648249,0.851590636145236,1,1,1,2.7111139487246,0.866241062924437,0.723694512279891,1,1,1,1.17851353624407,TRUE,"equal_weight_sensitivity"
"Ttll7","old_high","old_module",-1.73507869041457,0.676905377448778,1,1,1,-0.120534252060359,0.685624197136757,0.861012767793408,1,1,1,1.17448409583841,TRUE,"equal_weight_sensitivity"
"Dll1","old_high","old_module",-2.10475524185462,0.545891433426434,1,1,1,1.57408277464132,0.932600502504462,0.677641791942921,1,1,1,1.14896785598782,TRUE,"equal_weight_sensitivity"
"Gm129","old_high","old_module",-2.47416850237187,0.458548804078204,1,1,1,-0.0294640680981017,0.748974081415776,0.801628348737546,1,1,1,1.13452700785058,TRUE,"equal_weight_sensitivity"
"Zfp300","old_high","old_module",-1.95171256071084,0.579659197019245,1,1,1,-0.402940195979966,0.791136037734638,0.896651394263888,1,1,1,1.13132813575402,TRUE,"equal_weight_sensitivity"
"Cldn3","old_high","old_module",-1.34277342835243,0.829754978808179,1,1,1,2.28992454340326,1.12102464243242,0.864735145174407,1,1,1,1.11417293758676,TRUE,"equal_weight_sensitivity"
"Mybl1","old_high","old_module",-1.717862297529,0.645280992908216,1,1,1,-0.262041958954605,0.67277816232327,0.858952823753274,1,1,1,1.1085038890291,TRUE,"equal_weight_sensitivity"
"Serpina3f","old_high","old_module",-1.99488652393091,0.549749371416928,1,1,1,0.313412000021203,1.35041356114902,0.918536067875237,1,1,1,1.09668761257912,TRUE,"equal_weight_sensitivity"
"Pkp2","old_high","old_module",-1.50250981258522,0.720576692122892,1,1,1,0.46236603229569,0.740673902662443,0.861012767793408,1,1,1,1.08267355063484,TRUE,"equal_weight_sensitivity"
"Pltp","old_high","old_module",-1.13027922557085,0.938933265493466,1,1,1,5.83465687412322,0.552802003106222,0.11529513505552,1,1,1,1.06125676418466,TRUE,"equal_weight_sensitivity"
"Nrxn1","old_high","old_module",-1.37338498864405,0.764248006797007,1,1,1,2.50590713373273,0.652099618258765,0.665691829096542,1,1,1,1.04960674013615,TRUE,"equal_weight_sensitivity"
"Gabre","old_high","old_module",-1.51922910562958,0.676905377448778,1,1,1,0.309864425675024,0.618011996005303,0.798478058867031,1,1,1,1.02837435117736,TRUE,"equal_weight_sensitivity"
"Nova2","old_high","old_module",-2.71890138624684,0.371206174729975,1,1,1,-0.107729732507501,0.704173690128642,0.744331534649882,1,1,1,1.00927298305672,TRUE,"equal_weight_sensitivity"
"Asf1b","old_high","old_module",-2.29765460782437,0.436713146741147,1,1,1,-0.328819315755214,0.630607987426259,0.801628348737546,1,1,1,1.00341597390728,TRUE,"equal_weight_sensitivity"
"Efcab6","old_high","old_module",-1.78664345965893,0.61132510734983,0.916666666666667,1,1,-0.348894034134589,1.11314021524095,0.959306849204355,0.916666666666667,1,1,1.00120167104088,TRUE,"equal_weight_sensitivity"
"Try4","old_high","old_module",-4.01756936641173,0.249058377068449,1,1,1,-0.687556477467365,0.979319262590783,0.895059313219722,1,1,1,1.00060930615842,TRUE,"equal_weight_sensitivity"
"Pot1b","old_high","old_module",-1.51640556039894,0.65506972011172,1,1,1,1.05229355528979,0.75183386306661,0.74801595287595,1,1,1,0.99335136602639,TRUE,"equal_weight_sensitivity"
